ID,CODE,DESCRIPTION,
409,65258-6,Compared to other children and/or does this child await turn and/or stand in line and take turns [PhenX],
410,5466-8,Deprecated CD34+DR+ cells/100 cells in Blood,
411,51401-8,CD81 cells/100 cells in Tissue,
412,66155-3,At what age was diabetes first treated [PhenX],
413,8381-6,Hepatic artery Diastolic blood pressure,
414,58266-8,Ever diagnosed by a doctor as having an abdominal aortic aneurysm,
415,41310-4,Shoulder - right Extension Passive Range of Motion Quantitative,
416,12468-5,Amino acids [Identifier] in Serum or Plasma,
417,70148-2,Methadone [Presence] in Urine by Screen method >150 ng/mL,
418,1421-7,Cortisol [Mass/volume] in Serum or Plasma --32 hours post 40 ug corticotropin IM BID 3 day,
419,62095-5,I felt stressed in past 7 days [PROMIS],
420,17049-8,Latex glove extract ammoniated IgE Ab [Units/volume] in Blood,
421,33739-4,Lymphatic.small vessel.invasion by CAP cancer protocols,
422,72972-3,Phenytoin induced neutrophil IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
423,28802-7,Sphere N 1 LM glasses lens - left,
424,20365-3,Region of interest Volume/Volume 2 by US.calculated,
425,28204-6,Sexual dysfunction [CCC],
426,67039-8,How many times in the last year have you failed to obey the courts [PhenX],
427,42364-0,Streptococcus pneumoniae 6 IgG panel [Mass/volume] - Serum,
428,69494-3,OPTIMAL confidence - baseline,
429,53672-2,Fetal Lung - right Diameter US,
430,17197-5,CD79b cells/100 cells in Blood,
431,17459-9,Phospholipid IgA Ab [Units/volume] in Serum by Immunoassay,
432,42984-5,Parainfluenza virus 1 Ab [Titer] in Serum --2nd specimen,
433,74240-3,HEDIS 2014 Value Set - Cervical Cytology,
434,58569-5,Corticotropin [Mass/volume] in Plasma --1 day post dose metyrapone,
435,48217-4,Soybean triggered leukotriene release [Mass/volume] by Leukocytes,
436,60511-3,Text-treatment section Set NAACCR v.12,
437,51054-5,CD126 blasts [Units/volume] in Unspecified specimen,
438,16778-3,Dinitrophenol [Presence] in Serum or Plasma,
439,43096-7,Eastern equine encephalitis virus IgM Ab [Presence] in Unspecified specimen,
440,16293-3,11-Deoxycorticosteroids [Mass/volume] in Plasma,
441,45693-9,Other current or more detailed diagnoses and ICD9 codes [Minimum Data Set],
442,42771-6,Streptococcus pneumoniae serotype IgG Ab [interpretation] in Serum Narrative,
443,12494-1,Amobarbital [Presence] in Stool,
444,75123-0,Hypoxanthine [Moles/volume] in Cerebral spinal fluid,
445,22044-2,Other treatment Cancer Narrative,
446,50127-0,3-Hydroxypalmitoylcarnitine (C16-OH)/Creatinine [Molar ratio] in Urine,
447,40958-1,Cryptosporidium parvum identified in Stool,
448,41901-0,Type of Blood pressure device,
449,32877-3,Guardian previous action taken Observed,
450,42488-7,Aspergillus sp Ab [Titer] in Pleural fluid by Complement fixation,
451,44716-9,Creatinine/Calcium [Mass Ratio] in Urine,
452,16740-3,Dengue virus Ab [Presence] in Serum,
453,44386-1,Hydroxyproline/Creatinine [Mass Ratio] in 24 hour Urine,
454,29419-9,Pulmonary vein - right upper Peak systolic flow/Peak diastole flow by US.doppler,
455,62463-5,Enterovirus RNA [#/volume] (viral load) in Cerebral spinal fluid by Probe and target amplification method,
456,68497-7,Previous cesarean deliveries #,
457,71628-2,Macrophages/Leukocytes [Pure number fraction] in Peritoneal fluid by Manual count,
458,5519-4,Deprecated CD66d cells/100 cells in Blood,
459,73466-5,Ceftizoxime induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
460,61403-2,Stenotrophomonas maltophilia DNA [Presence] in Unspecified specimen by Probe and target amplification method,
461,63578-9,In your lifetime and/or what is the largest number of drinks you have ever had in a 24 hour period and/or including all types of alcohol [PhenX],
462,38672-2,P-cresol [Mass/volume] in Air,
463,7709-9,Sole IgE Ab [Units/volume] in Serum,
464,34041-4,Partial edentulism {Dental arch} Kennedy classification,
465,30492-3,Streptococcus pneumoniae 19 IgG Ab [Mass/volume] in Serum --1st specimen,
466,2145-1,Cortisol Free [Mass/volume] in Serum or Plasma,
467,66570-3,Has a doctor ever said that you had a broken or fractured bone [PhenX],
468,54501-2,Identification information,
469,54686-1,Put the resident at significant risk for physical illness or injury in last 7 days [MDSv3],
470,436-6,Rolitetracycline [Susceptibility] by Minimum inhibitory concentration (MIC),
471,71109-3,I have trouble getting around in public places in the past 7 days [FACIT],
472,6551-6,Streptococcus agalactiae Ag [Presence] in Throat by Immunofluorescence,
473,25413-6,Fluoride [Moles/time] in 24 hour Urine,
474,40101-8,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay --30 minutes post XXX challenge,
475,4189-7,Clindamycin [Mass] of Dose,
476,63871-8,For how many years were you exposed to smoke from other peoples cigarettes or tobacco products during this time at this location [PhenX],
477,51229-3,CD11b cells/100 cells in Bone marrow,
478,25536-4,Clostridium tetani toxoid IgE Ab RAST class [Presence] in Serum,
479,66275-9,Day sequence [PhenX],
480,21379-3,Malt IgG Ab RAST class [Presence] in Serum,
481,821-9,Au sup(a) Ab [Presence] in Serum or Plasma from Blood product unit,
482,72294-2,Undermining clock position of Wound,
483,53185-5,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH)/Octanoylcarnitine (C8) [Molar ratio] in Dried blood spot,
484,45545-1,Transfer aid [Minimum Data Set],
485,57229-7,Status of most problematic pressure ulcer [OASIS-C],
486,50121-3,3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in Dried blood spot,
487,12712-6,Hemoglobin S+D+G region [Presence] in Blood by Electrophoresis alkaline (pH 8.9),
488,60217-7,Chloride [Moles/volume] in Mother's milk,
489,61356-2,Medication pharmaceutical advice.extended Document,
490,63123-4,Cumin IgG Ab [Mass/volume] in Serum,
491,45923-0,Resident assessment protocol 4--Communication - proceed with care [Minimum Data Set],
492,28617-9,Dentistry Progress note,
493,49501-0,Calcium oxalate monohydrate/Total in Stone by Infrared spectroscopy,
494,41380-7,Knee Flexion Passive Range of Motion Quantitative,
495,71224-0,My child thinks I worry too much about him-her in the past 7 days [FACIT],
496,53993-2,Nuclear Ab pattern.centrosomal [Titer] in Serum by Immunofluorescence,
497,45553-5,Repetitive physical movements [Minimum Data Set],
498,73804-7,Oxygen saturation sensor name,
499,33604-0,Chlamydia trachomatis I IgM Ab [Titer] in Serum,
500,21773-7,Chromosome 8 trisomy [Presence] in Blood or Tissue by Cytogenetics,
501,17807-9,Cyclosporine [Mass/volume] in Body fluid,
502,4325-7,Methoxyphenamine [Mass] of Dose,
503,45939-6,Resident assessment protocol 12--Nutritional status - proceed with care [Minimum Data Set],
504,62057-5,I felt scared in past 7 days [PROMIS],
505,22522-7,Salmonella paratyphi B H Ab [Titer] in Serum,
506,67319-4,Anyone in your child's family that has difficulty explaining things [PhenX],
507,8309-7,Body temperature from Pediatric incubator,
508,10594-0,Spermatozoa Tapering Head/100 spermatozoa in Semen,
509,71798-3,Reason immunization not given,
510,42871-4,CD138 cells/100 cells in Body fluid,
511,44657-5,Dominant nodule.maximum.dimension in Prostate tumor by CAP cancer protocols,
512,38551-8,Cortisol [Mass/volume] in Serum or Plasma --pre or post dose dexamethasone,
513,75169-3,Mother's Most recent non-treponemal test titer,
514,49582-0,Trisomy 18 risk cutoff in Fetus,
515,20062-6,Airway pressure --on ventilator.pressure targeted control,
516,52230-0,Medical social services treatment plan and/or Past medical history (narrative),
517,9403-7,Acylcarnitine [Mass/volume] in Urine,
518,69034-7,Eastern equine encephalitis virus IgG and IgM panel - Serum by Immunofluorescence,
519,38527-8,Number of specimens received of Stool,
520,52693-9,Patient will live with at discharge [CARE],
521,50666-7,Nuclear matrix protein 22 [Presence] in Urine,
522,73610-8,Sarafloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),
523,33943-2,Chlamydophila pneumoniae+Chlamydophila psittaci DNA [Presence] in Cerebral spinal fluid by Probe and target amplification method,
524,63721-5,What was the depth of the private well [PhenX],
525,25535-6,Teicoplanin [Moles/volume] in Serum or Plasma --trough,
526,67201-4,Other histopathologic type for primary colorectal cancer [PhenX],
527,44727-6,HLA-DP2 [Presence],
528,6152-3,Johnson grass IgE Ab [Units/volume] in Serum,
529,990-2,Di sup(b) Ag [Presence] on Red Blood Cells,
530,18727-8,Serology studies (set),
531,61320-8,Scad IgE Ab [Ratio] in Serum,
532,10472-9,Chromogranin Ag [Presence] in Tissue by Immune stain,
533,34963-9,CD3+TCR alpha beta+ cells [#/volume] in Blood,
534,52850-5,Total population of age 35-39 years Nursing unit population,
535,20962-7,Serpulina hyodysenteria [Presence] in Spiral colon by Organism specific culture,
536,32354-3,Hematocrit [Volume Fraction] of Arterial blood,
537,46227-5,Duloxetine [Mass/volume] in Serum or Plasma,
538,31768-5,Chlamydia trachomatis Ag [Presence] in Blood,
539,48949-2,Estazolam [Mass/volume] in Unspecified specimen,
540,40911-0,Streptococcus pneumoniae 51 IgG Ab [Mass/volume] in Serum by Immunoassay,
541,58541-4,Corticotropin [Moles/volume] in Plasma --11th specimen post XXX challenge,
542,53398-4,Arginine/Phenylalanine [Molar ratio] in Dried blood spot,
543,282-4,Deprecated Imipenem+Cilastatin [Susceptibility] by Minimum lethal concentration (MLC),
544,9437-5,Methylhippurate [Mass/time] in Urine,
545,72351-0,Social interaction with other people - family and/or friends and/or or others - over the past month [Reported],
546,8660-3,History of Cardiovascular system disorders,
547,59065-3,Chlamydophila psittaci [Presence] in Bronchial brush by Organism specific culture,
548,74969-7,Methotrimeprazine [Mass/volume] in Serum or Plasma --trough,
549,49394-0,Herpes virus 7 DNA [#/volume] (viral load) in Urine by Probe and target amplification method,
550,42041-4,Scope of regional lymph node surgery 98-02 Cancer,
551,72074-8,Date last formal post dialysis weight [ESRD],
552,54325-6,Palmitoylcarnitine (C16) [Moles/volume] in Amniotic fluid,
553,56897-2,CD3-CD56+ cells/100 cells in Cerebral spinal fluid,
554,48676-1,HER2 [interpretation] in Tissue,
555,6692-8,Lutropin [Moles/time] in 24 hour Urine,
556,30920-3,Copper [Mass/volume] in unspecified time Urine,
557,55374-3,Hemoglobin N+I/Hemoglobin.total in Blood,
558,31514-3,Mycoplasma mycoides ss mycoides large colony Ab [Presence] in Serum,
559,44381-2,Japanese hop IgE Ab RAST class [Presence] in Serum,
560,47727-3,Pipecolate/Creatinine [Molar ratio] in Urine,
561,31978-0,Trichomonas vaginalis Ag [Presence] in Genital specimen,
562,64471-6,If I walk up one flight of stairs and/or I have to go slowly or stop [PhenX],
563,46979-1,Flurazepam [Mass/volume] in Serum or Plasma by Confirmatory method,
564,55822-1,Allo-tetrahydrodeoxycortisol [Mass/time] in 24 hour Urine,
565,1401-9,Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM rapid,
566,15270-2,Tree Allergen Mix 8 (Boxelder+Silver birch+Hazelnut+White oak+London plane or Maple leaf sycamore) IgE Ab [Presence] in Serum by Multidisk,
567,2816-7,Porphyrins [Presence] in Stool,
568,54156-5,RNA polymerase I Ab [Presence] in Serum by Immunofluorescence,
569,7021-9,Itraconazole [Susceptibility] by Gradient strip (E-test),
570,46778-7,MCAD newborn screen interpretation,
571,49106-8,Phenols [Mass/volume] in Unspecified specimen,
572,22630-8,Xylose/Xylose dose in 5 hour Urine --post 25 g xylose PO,
573,13150-8,Streptococcus pneumoniae 8 Ab [Units/volume] in Serum --2nd specimen,
574,43012-4,HIV 1 gp41 Ab [Presence] in Serum,
575,62888-3,PhenX - international travel history protocol,
576,31579-6,Purkinje cells Ab [Units/volume] in Cerebral spinal fluid,
577,12897-5,Myelin associated glycoprotein Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),
578,70695-2,I worry about spreading the infection in the past 7 days [FACIT],
579,29033-8,YAG [#] Eye - right,
580,71720-7,Personnel mailing address Facility,
581,30304-0,Adefovir [Susceptibility],
582,63181-2,Mountain Juniper IgG Ab [Mass/volume] in Serum,
583,19152-8,Specimen specific gravity acceptable [Presence] in Urine,
584,67453-1,Duration of treatment [PhenX],
585,59593-4,7-Aminoclonazepam [Mass/volume] in Body fluid,
586,21879-2,Surgery.regional nodes examined at facility.YYY most definitive procedure [#] Cancer,
587,20495-8,Gliadin IgA Ab [Units/volume] in Serum by Immunoassay,
588,50947-1,Platelet aggregation collagen induced [Presence] in Platelet rich plasma --190 ug/mL,
589,4873-6,HLA-D w12 [Presence],
590,63934-4,Did you have this treatment or therapy for cancer [PhenX],
591,45155-9,Heparin induced platelet Ab [Units/volume] in Serum,
592,52689-7,Frequency of assistance at discharge [CARE],
593,29883-6,2-Hydroxyphenylacetate [Presence] in Urine,
594,15017-7,Alkaline phosphatase.regan/Alkaline phosphatase.total in Serum or Plasma,
595,12171-5,Fetal Lateral cerebral ventricles Transverse width US,
596,47652-3,Hypoxanthine phosphoribosyltransferase [Enzymatic activity/mass] in Placenta,
597,43825-9,Arsenic [Presence] in Gastric fluid,
598,55504-5,Somatotropin [Mass/volume] in Serum or Plasma --2 hours post dose glucagon,
599,27964-6,Streptococcus pneumoniae 6+26 Ab [Mass/volume] in Serum,
600,11432-2,Physical findings of Female genitalia,
601,62484-1,Herpes virus 6B DNA [Presence] in Serum or Plasma by Probe and target amplification method,
602,15195-1,CD3-CD19+ cells [#/volume] in Blood,
603,2001-6,Calcium [Moles/volume] in 24 hour Stool,
604,50857-2,Histamine [Moles/volume] in 3 hour Urine,
605,71268-7,My child gets tired easily in the past 7 days [FACIT],
606,19188-2,Mucin-like carcinoma associated Ag [Units/volume] in Pleural fluid,
607,28666-6,HSA distance Eye - right Phoropter,
608,18018-2,Left ventricular outflow tract Diameter by US,
609,75233-7,Norsertraline [Presence] in Urine,
610,25464-9,Lysine [Moles/time] in 24 hour Urine,
611,60156-7,Perfluorooctanoate [Mass/volume] in Blood,
612,28990-0,Sagittal radius.inferior Eye - left Ophthalmometer,
613,13575-6,Normaprotiline [Presence] in Serum or Plasma,
614,52710-1,Long-term personal care services considered appropriate [CARE],
615,19087-6,Collection of urine specimen end time,
616,11261-5,Bacteria identified in Vaginal fluid by Aerobe culture,
617,41933-3,Peak flow meter Vendor serial number,
618,9938-2,Q wave duration in lead AVL,
619,55288-5,ED medication data Set DEEDS,
620,68869-7,Pediatric nephrology Hospital Consult note,
621,71144-0,Pediatric - Functional Assessment of Anorexia Cachexia - Parent_adolescent Questionniare - version 1 (Peds-FAACT - adoles) [FACIT],
622,69674-0,Bothered by menstrual cramps or other problems with your period in last 4 weeks [Reported.PHQ],
623,59965-4,Quinine [Moles/volume] in Serum or Plasma,
624,66022-5,Credibility of information [PhenX],
625,15740-4,Brome IgE Ab RAST class [Presence] in Serum,
626,19506-5,Deprecated Levomepromazine [Presence] in Urine by Screen method,
627,35366-4,SCA2 gene allele 2 CAG repeats [Presence] in Blood or Tissue by Molecular genetics method,
628,73599-3,Fidaxomicin [Susceptibility],
629,25935-8,Deprecated Hydroxyproline/Creatinine [Molecular ratio] in 24 hour Urine,
630,841-7,A1 Ab [Presence] in Serum or Plasma,
631,46144-2,Bowel elimination pattern (quarterly) Set,
632,64409-6,At what age did this itchy rash first occur [PhenX],
633,17499-5,Gamma globulin [Mass/volume] in Body fluid by Electrophoresis,
634,10933-0,Guar gum IgE Ab [Units/volume] in Serum,
635,60370-4,Crab IgG Ab [Mass/volume] in Serum,
636,14415-4,Calcium [Moles/volume] in Amniotic fluid,
637,71284-4,I have trouble writing with a pen or pencil in the past 4 weeks [FACIT],
638,46685-4,Humidity [RFC],
639,856-5,A2 Ag [Presence] on Red Blood Cells,
640,26951-4,Alternaria alternata IgG Ab [Mass/volume] in Serum,
641,69413-3,Continuity Assessment Record and Evaluation (CARE) tool - Long term care hospital (LTCH) - Planned discharge - version 1.0,
642,55450-1,Fibrin+Fibrinogen fragments in Serum,
643,55128-3,Discharge Status [MDSv3],
644,71790-0,Calcium [Moles/volume] in unspecified time Urine,
645,31949-1,Respiratory syncytial virus Ag [Presence] in Throat,
646,73335-2,Imipenem induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
647,22196-0,Chlamydia trachomatis B IgM Ab [Titer] in Serum,
648,46248-1,Borrelia burgdorferi IgG and IgM [interpretation] in Serum by Immunoassay,
649,18757-5,Deprecated Nuclear medicine study,
650,26781-5,Glucose [Mass/volume] in Serum or Plasma --3 hours post dose lactose PO,
651,54442-9,Carnitine esters/Carnitine.free (C0) [Molar ratio] in Urine,
652,68131-2,Neuro-Qol pediatric item bank - general concerns - version 1.0 [NeuroQol.Peds],
653,73494-7,Buspirone induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
654,61586-4,How often have you been bothered by emotional problems such as feeling anxious and/or depressed or irritable in past 7 days [PROMIS],
